SL.NO,DATE,CASES,BOTTLES,TOTAL BOTTLES,BASIC VALUE,EXCISE DUTY,RATE OF SPECIAL MARGIN,ADDITIONAL PRIVILEGE FEE (SPL MARGIN),CUSTOM DUTY,LANDING COST,ASSESSMENT FEE,VAT,ADDITIONAL EXCISE DUTY,ISSUE PRICE,SPL PRIVILEGE FEE,BARS ARE TAX,TCS,PROFESSIONAL TAX,APBCL COMMISION,VAT ON APBCL COMMISION,VAT ON SPL MARGIN
1,01-Oct-22,18743,5623,578599,15654867,8361168.44,27832790.38,1642585.73,94607.74,24110643.19,74411.96,3576477.66,2428340.78,58673396.9,49148,44650668,1047441,7500,278076.66,42283.52,322707.24
2,03-Oct-22,22356,5990,671762,19432192.83,9971067.5,34122564.02,1837127.68,120251.36,29523511.68,84983.39,4360234.69,3045948.97,71934441.19,34321,54124266,1275500,12500,340582.83,51581.26,396100.67
3,04-Oct-22,26681,5914,802708,26515735.15,12378657.11,43482216.77,2257693.92,589797.07,39484189.33,411817.62,6081318.26,4612278.41,95100838.9,157397,69679939,1662935,27500,447611.34,69721.08,499578.41
4,06-Oct-22,20083,5455,672175,20499383.27,10090496.06,34880194.96,1707335.54,182767.69,30772647.02,129128.34,4181372.38,3504894.41,74275399.5,80540,54667470,1302748,5000,349992.44,48376.65,400189.64
5,07-Oct-22,25498,7117,834880,25340362.95,12302656.82,42400812.05,2200602.89,381051.28,38024071.05,279087.79,5504544.92,4357957.45,91558127.12,101157,67424156,1607108,2500,431393.12,63384.92,486038.18
6,08-Oct-22,11091,4574,351110,10504543.54,5131561.17,17805252.43,922030.89,133306.6,15769411.32,99547.6,2340821.24,1732763.31,38164809.1,17919,28216772,672296,2500,180171.71,27173.77,205440.01
7,10-Oct-22,28104,10143,914991,26077726.17,13373871.62,45887839.76,2301105.37,254045.45,39705643.24,175244.59,5650834.93,4094804.59,96580951.65,16790,71314698,1701387,2500,457176.92,66129.66,532656.59
8,11-Oct-22,20543,6202,680383,20124934.33,10003529.82,34585817.88,1756913.02,397715.15,30526179.3,269111.77,4472352.61,3312912.38,73975916.83,92284,54152063,1294493,2500,349497.09,51607.66,400443.14
9,12-Oct-22,19031,6390,616221,20028104.16,9434987.21,33007715.38,1637994.45,188706.02,29651797.39,112006.66,4025719.7,3683134.65,71244362.33,158327,52374111,1245003,2500,334096.08,46360.59,375994.8
10,13-Oct-22,17980,5461,570785,17951987.48,8484672.13,29673391.75,1502241.05,540278.59,26976938.2,385844.72,4230494.99,3267355.56,65238281.96,162615,47701742,1136650,5000,306725.7,48315.22,342159.88
11,14-Oct-22,18384,6245,605210,18631998.08,8985634.68,30783871.29,1515264.77,581533.31,28199166.06,414456.46,4343814.01,3414133.3,67885374.02,95710,49861327,1188127,0,319085.01,49225.41,353609.25
12,15-Oct-22,17237,5680,518386,18482490.22,8365549.2,30013731.49,1407460.25,487654.34,27335693.76,334863.02,4129687.28,3443342.01,65965379.48,136531,48295282,1150201,7500,309489.83,47082.97,344660.6
13,17-Oct-22,24554,7100,767465,24809141.79,11854707.58,41706735.97,1918083.18,444347.4,37108196.77,274591.2,5385984.2,4307097.08,89757766.1,19149,65920185,1575251,2500,422694.57,62238.23,480681.13
14,18-Oct-22,20377,5833,631285,20528711.54,9767565.83,34607281,1588990.11,409803,30706080.38,260306.91,4519623.78,3454620.64,74358486.92,206677,54439092,1292159,2500,350787.04,52280.32,400128.16
15,19-Oct-22,14761,5749,465862,14896635.27,7206183.97,25171329.56,1129068.52,300669.81,22403489.05,190022.91,3289215.13,2489397,54132844.4,8816,39604405,948410,0,255499.1,37949.7,290429.25
16,20-Oct-22,13931,6073,427747,14970934.61,6730346.14,24186729.27,1085288.86,414844.22,22116124.96,290758.43,3398092.63,2697802.94,53261405.77,71476,38795701,928098,2500,250229.63,38635.31,277730.38
17,21-Oct-22,19573,7529,616113,20303832.08,9569143.58,33935571.75,1505114.13,412032.83,30285008.49,251905.26,4409122.5,3506089.24,73181486.23,105941,53455760,1276449,2500,344790.25,50913.72,390989.3
18,22-Oct-22,18342,7386,518347,17054109.66,7900099.91,28548371.13,1385464.69,291378.39,25245587.95,181103.84,3969615.43,2715484.03,61334549.48,70305,45436879,1078324,2500,289950.54,46512.81,331544.38
19,25-Oct-22,29179,9180,909243,27773651.94,13523478.79,47667381.89,2375497.13,228363.07,41525493.8,150675.3,5956434.54,4434205.23,100842894.9,67394,75278807,1781909,0,476747.87,69894.78,551389.2
20,26-Oct-22,20375,6351,593268,19271660.08,9320388.52,32511860.12,1649046.4,284870.54,28876919.14,170351.98,4321377.84,3109987.39,69752994.44,0,52340981,1214150,2500,329667.55,50377.11,374604.36
Total:,,406823,129995,12746540,398853002.2,192755766.1,672811458.9,33324908.58,6738023.86,598346792.1,4540219.75,88147138.72,67612549.37,1447219707,1652497,1067734304,25378639,92500,6824265.28,1020044.69,7757074.57
